,resp_r_1,prob_o_l,prob_o_r,mag_left,mag_right,info_amb,revealed_o_r,num_revealed,info_amb_sqrt,resp_amb_1,ambig_r,ambig_l,gain_or_loss_trial,mag_ambig,mag_unambig,prob_x_unambig,prob_x_ambig,prob_x_l,prob_x_r,revealed_o_ambig,revealed_x_ambig,revealed_ambi,prob_x_ambig_bayes,ambiguityLevel,MID
158,0.0,0.48,0.07999999999999996,0.1,0.05,1.0,46.0,50.0,1.0,0.0,0,0.0,gain,0.05,0.1,0.52,0.92,0.52,0.92,46.0,4.0,1.0,0.9038461538461539,-5.782329983125268,S30
159,0.0,0.16000000000000003,0.48,0.4,0.49,1.0,26.0,50.0,1.0,0.0,0,0.0,gain,0.49,0.4,0.84,0.52,0.84,0.52,26.0,24.0,1.0,0.5192307692307693,-4.0990195135927845,S30
160,1.0,0.52,0.17999999999999994,0.58,0.34,0.8,33.0,40.0,0.8944271909999159,1.0,1,0.0,gain,0.34,0.58,0.48,0.8200000000000001,0.48,0.8200000000000001,33.0,7.0,0.8944271909999159,0.8095238095238095,-4.744562646538029,S30
161,0.0,0.62,0.45999999999999996,0.17,0.07,0.02,0.0,1.0,0.1414213562373095,0.0,1,0.0,gain,0.07,0.17,0.38,0.54,0.38,0.54,0.0,1.0,0.1414213562373095,0.3333333333333333,1.0,S30
162,1.0,0.56,0.32000000000000006,1.36,0.88,1.0,34.0,50.0,1.0,1.0,0,0.0,gain,0.88,1.36,0.43999999999999995,0.6799999999999999,0.43999999999999995,0.6799999999999999,34.0,16.0,1.0,0.6730769230769231,-4.830951894845301,S30
163,0.0,0.040000000000000036,0.06000000000000005,0.27,0.17,1.0,47.0,50.0,1.0,0.0,0,0.0,gain,0.17,0.27,0.96,0.94,0.96,0.94,47.0,3.0,1.0,0.9230769230769231,-5.855654600401044,S30
164,0.0,0.040000000000000036,0.24,0.05,0.39,1.0,38.0,50.0,1.0,0.0,0,0.0,gain,0.39,0.05,0.96,0.76,0.96,0.76,38.0,12.0,1.0,0.75,-5.164414002968976,S30
165,1.0,0.32000000000000006,0.32000000000000006,0.44,0.22,0.2,9.0,10.0,0.4472135954999579,1.0,1,0.0,gain,0.22,0.44,0.6799999999999999,0.6799999999999999,0.6799999999999999,0.6799999999999999,9.0,1.0,0.4472135954999579,0.8333333333333334,-2.0,S30
166,1.0,0.4,0.32000000000000006,1.12,1.01,1.0,34.0,50.0,1.0,1.0,0,0.0,gain,1.01,1.12,0.6,0.6799999999999999,0.6,0.6799999999999999,34.0,16.0,1.0,0.6730769230769231,-4.830951894845301,S30
167,1.0,0.12,0.84,0.09,0.23,0.8,6.0,40.0,0.8944271909999159,1.0,1,0.0,gain,0.23,0.09,0.88,0.16000000000000003,0.88,0.16000000000000003,6.0,34.0,0.8944271909999159,0.16666666666666666,-1.4494897427831779,S30
168,1.0,0.07999999999999996,0.36,0.08,0.06,0.2,6.0,10.0,0.4472135954999579,1.0,1,0.0,gain,0.06,0.08,0.92,0.64,0.92,0.64,6.0,4.0,0.4472135954999579,0.5833333333333334,-1.4494897427831779,S30
169,0.0,0.040000000000000036,0.040000000000000036,0.07,0.1,0.04,2.0,2.0,0.2,0.0,1,0.0,gain,0.1,0.07,0.96,0.96,0.96,0.96,2.0,0.0,0.2,0.75,-0.41421356237309515,S30
170,0.0,0.7,0.43999999999999995,0.22,0.05,1.0,28.000000000000004,50.0,1.0,0.0,0,0.0,gain,0.05,0.22,0.30000000000000004,0.56,0.30000000000000004,0.56,28.000000000000004,21.999999999999996,1.0,0.5576923076923077,-4.291502622129181,S30
171,0.0,0.72,0.5,0.47,0.25,1.0,25.0,50.0,1.0,0.0,0,0.0,gain,0.25,0.47,0.28,0.5,0.28,0.5,25.0,25.0,1.0,0.5,-4.0,S30
172,1.0,0.28,0.4,0.07,0.08,1.0,30.0,50.0,1.0,1.0,0,0.0,gain,0.08,0.07,0.72,0.6,0.72,0.6,30.0,20.0,1.0,0.5961538461538461,-4.477225575051661,S30
173,0.0,0.28,0.4,0.42,0.25,1.0,30.0,50.0,1.0,0.0,0,0.0,gain,0.25,0.42,0.72,0.6,0.72,0.6,30.0,20.0,1.0,0.5961538461538461,-4.477225575051661,S30
